name,street_address,google_map,review_count,phone,website,restaurant_type,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,description,restaurant_main_type,latitude,longitude,postal_code
Hunt & Fish Club NYC,"125 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7567930%2C-73.984254,1075,(212) 575-4949,http://www.hfcnyc.com/,Steakhouse,4.61075,4.6,4.5,4.5,4,$50 and over,1,2,6,18,73,"The Hunt and Fish Club is a contemporary New York steakhouse offering the classic cuts of beef and innovative dishes prepared by Executive Chef Chad Brown. ""HFC"" embodies the soul of a classic NY steakhouse reborn into a sleekly designed, elegantly appointed environment.",Steakhouse,40.7568129,-73.984243,10036
Ammos Estiatorio,"52 Vanderbilt Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7542670%2C-73.977181,3773,(212) 922-9999,http://www.ammosnewyork.com/,Seafood,4.63773,4.5,4.5,4.4,4.2,$31 to $50,0,2,6,25,67,"***** SEAFOOD GREEK RESTAURANT ***** Located in the Heart of  Midtown, steps away from Grand Central Terminal. Ammos provides upscale, authentic cuisine from various regions of Greece. The menu features a wide array of mezedes and pristinely fresh seafood as well as whole grilled fish. Ammos is the Greek word for ""sand"" and the restaurant’s airy, open design, light woods and weathered stones conjure the sun-drenched atmosphere of the Greek islands. ",Seafood,40.7543343,-73.9773555,10017
T-BAR Steak & Lounge (Upper East Side),"1278 3rd Avenue New York, NY  10028",//www.google.com/maps/search/?api=1&query=40.7710000%2C-73.96,1270,(212) 772-0404,http://www.tbarnyc.com/,Steakhouse,4.6127,4.5,4.4,4.3,4.1,$31 to $50,1,1,5,24,69,"T-Bar Steak & Lounge is Tony Fortuna's new spin on the classic steak house. Chef Ben Zwicker's menu consists of raw bar that includes tartares; steak bar that includes prime cuts and as well as tuna and salmon steaks; appetizers are divided in classic and market driven; sauces are global and diverse; entrees, too, present a roster of classics and new world items; and a long, long list of sides complements every dish on the menu. T-Bar & Lounge speaks to many tastes, from cocktail & wine lovers, to grazers and full on steak aficionados. ",Steakhouse,40.7707731,-73.9600923,10028
Bocca di Bacco (Hell's Kitchen - 54th St.),"828 9th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7661560%2C-73.986752,1627,(212) 265-8828,http://www.boccadibacconyc.com/,Italian,4.61627,4.6,4.5,4.4,4.3,$30 and under,0,1,6,26,67,An Italian wine bar with 45 bottles by the glass and over 500 wines by the bottle.,Italian,40.7661302,-73.9867853,10019
The Clocktower,"5 Madison Ave. New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7411290%2C-73.98777,1019,(212) 413-4300,http://www.theclocktowernyc.com/,English,4.51019,4.4,4.3,4.5,3.8,$50 and over,1,2,8,22,67,"The Clocktower is a new restaurant from Stephen Starr and Michelin-starred chef and restaurateur Jason Atherton.  It is located in Ian Schrager's Edition Hotel, located at 5 Madison Avenue (at 24th Street), in the iconic Met Life Tower building. The 88 seat, David Rockwell-designed restaurant serves contemporary cuisine with British sensibilities, classic and contemporary cocktails, and a diverse selection of wines, and local and global beers.",Other Europe,40.7412504,-73.9875224,10010
Masseria dei Vini,"887-889 9th Ave. New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7684920%2C-73.985762,1190,(212) 315-2888,http://www.masseriadeivini.com/,Italian,4.6119,4.6,4.6,4.4,4.1,$31 to $50,1,2,4,24,69,"Masseria dei Vini (Masseria of Wines) is the new venture brought to you from the La Masseria Team.Restauranteur Pino Coladonato, Peppe Iuele and Enzo Ruggiero have teamed up again with Interior Designer Libby Langdon, bringing you a modern update version of ""Masseria"". In the region of Puglia, in South Italy, Masseria were Fortified Farmhouses, and many of them now have been transformed into Restaurants or Hotels. Executive Chef Pino Coladonato, native of Rutigliano (Bari), has created a menu that blends traditional with modern without overpowering one or the other.The Menu features typical dishes from Puglia, such as ""Crudo"", the Italian word for ""Raw"", made with fish and shellfish, a lot of fresh homemade pastas and Ravioli.The menu also offers Gourmet Pizza Neapolitan style.The Restaurant offers an extensive wine by the glass program and a large selection of wine bottles, mainly from Italy, but without ignoring the rest of the world.",Italian,40.7684477,-73.9857048,10019
Lexington Brass,"517 Lexington Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7552470%2C-73.972979,1089,(212) 392-5976,http://www.catchhg.com/,American,4.51089,4.4,4.2,4.2,3.9,$31 to $50,1,2,7,26,64,"Located adjacent to the Hotel 48 Lex in midtown Manhattan, Lexington Brass is a new age American Brasserie focused on bringing high quality dishes to diners in search of an authentic New York experience.  Using only the finest, locally sourced ingredients from some of the region’s most trusted purveyors, the bustling, 100 seat restaurant combines organic, nutrient-rich proteins and fresh, seasonal produce to create a menu of hearty, tasty dishes including the Organic Pennsylvania Dutch Crispy Chicken Salad, Brass Health Bowl, vegetarian Mushroom Pasta and Herb-Roasted Branzino with many gluten free, dairy free and vegan options to boot.  Offering reasonable price points and reliable quality in a relaxed upscale environment, Lexington Brass stands beside the business backdrop of modern midtown and sets itself apart with elevated brasserie favorites and a top notch team of hospitality professionals at your service breakfast, lunch, dinner and into the late evening hours.",American,40.7553,-73.9728788,10017
Serra by Birreria,"200 Fifth Avenue New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7420200%2C-73.989927,1296,(212) 937-8910,http://www.eataly.com/nyc-birreria,Italian,4.21296,4,3.7,4.4,3.5,$30 and under,3,5,16,25,51,"Step into the Italian countryside at SERRA by Birreria, our new ""greenhouse"" pop-up on the roof. The restaurant will transport you from the hot pavement of Manhattan to the rolling fields of Italy. Sit down at rustic tables in the shade, and share down-to-earth dishes made with simple but quality ingredients from our favorite farmers in Italy and the U.S. and served family-style, just like in the countryside.Complete your experience with our experts' curated drink menu, which includes the largest selection of Italian bio-dynamic wines in New York, craft beers, house made botanic-infused cocktails, and more (Negroni popsicle, anyone?). Pro tip: don't miss the Limonata Stand, where you can enjoy a freshly squeezed taste of summer with rotating lemons varieties, such as Limoni di Sorrento and Limoni Genovesi, along with the option to add herbs and liquors to really cool down in style.",Italian,40.7419931,-73.9899357,10010
GAONNURI,"1250 BROADWAY 39th Floor New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7481350%2C-73.988038,1830,(212) 971-9045,http://www.gaonnurinyc.com/,Korean,4.5183,4.4,4.3,4.6,4,$31 to $50,1,2,7,24,66,"GAONNURI RESTAURANT / THE PENTHOUSE BAR & LOUNGE GAONNURI [gah-ohn-nu-ri]: The Center of the WorldThe name GAONNURI represents our placement in what we believe is the center of the world, both physically and figuratively. Located in the heart of New York City,a city that represents the intersection of the finest cuisines and eclectic cultures, GAONNURI seeks to gather people of all backgrounds to sharein a traditional Korean dining experience. We hope that the authenticity of the foodand the enjoyment of the dining experience will invite patrons for generations to come.Thank you for allowing us to invite and serve you in our own culinary center.",Japanese & Koren,40.7476831,-73.9878697,10001
Obao,"647 9th Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7606000%2C-73.991223,1702,(212) 245-8880,http://www.obaony.com/,Thai,4.31702,4.3,4.2,4.2,4.2,$31 to $50,2,3,10,32,53,"OBAO bridges the gap from the street of Southeast Asia to the streets of NYC, bringing you combinations of various Thai and Vietnamese comfort foods with a twist.  OBAO takes traditional dishes from Thailand and Vietnam like Pad Thai and Pho Noodles and adds a touch of luxury and elegance without ever compromising on authenticity.  At OBAO, you will taste the highest quality ingredients while experiencing comfort through food you never thought was possible.With the success of our Flagship restaurant in midtown and Water Street location, OBAO is proud to unveil its Hell's Kitchen location located on 9th avenue between 45th&46th.",Southeast Asian,40.7606544,-73.991332,10036
Remi,"145 West 53rd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7624290%2C-73.980349,2206,(212) 581-4242,http://www.remi-nyc.com/,Italian,4.52206,4.5,4.4,4.5,4.1,$31 to $50,1,2,7,22,68,"Located in the heart of Midtown, Remi restaurant was created and designed by Adam D. Tihany.Remi combines the cuisine, architecture, and atmosphere of Venice.",Italian,40.7622408,-73.9798689,10019
Glass House Tavern,"252 West 47th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7598310%2C-73.986685,3642,(212) 730-4800,http://www.glasshousetavern.com/,Contemporary American,4.33642,4.3,4.4,4.1,4,$31 to $50,0,3,11,37,49,"You feel a great energy when you walk into the Glass House Tavern. The decor is soothing and warm and truly makes the customer feel welcome. The prompt, friendly service is delightful and the food is incredible. Executive Chef Craig Cupani has created a contemporary American menu that sets this restaurant apart from the other choices in the neighborhood. Fresh, seasonal ingredients are the emphasis here and the results are fantastic. ",Contemporary American,40.759833,-73.986698,10036
Dos Caminos - Third Avenue,"825 Third Avenue at 50th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7564780%2C-73.970271,2396,(212) 336-5400,http://www.doscaminos.com/,Mexican,4.32396,4.1,3.8,4,3.7,$31 to $50,2,5,10,25,58,"Dos Caminos brings the vibrant spirit of Mexico City to New York City. Serving authentic and upscale Mexican cuisine, including fresh guac, killer margaritas, and South of the Border staples like Asada Tacos and Mexico City-Style quesadillas. The tequila and margarita menu is one of the most robust of its kind. “Dos” has single-handedly redefined Mexican for Americans.",Mexican,40.7558722,-73.9701462,10022
Stella 34 Trattoria,"Macy’s at Herald Square 151 West 34th Street New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7501240%2C-73.988318,1973,(212) 967-9251,http://www.patinagroup.com/stella-34,Italian,4.41973,4.4,4.3,4.3,4,$30 and under,1,2,9,32,56,"Stella 34 Trattoria is a modern Italian restaurant inside Macy's in Midtown NYC with Empire State Building views, serving lunch, dinner, brunch and drinks.",Italian,40.7507815,-73.9889593,10001
MR CHOW - 57th,"324 East 57th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7588750%2C-73.964281,1710,(212) 751-9030,http://www.mrchow.com/,Chinese,4.6171,4.6,4.6,4.4,4,$50 and over,1,3,8,12,76,"Opened in 1979 by world famous restaurateur Michael Chow. MR CHOW started in London in 1968 and continues to enjoy generations of devoted clients from art, fashion, music, and entertainment. Recently awarded the 5 Star Diamond Award by the American Academy of Hospitality Sciences for its excellence, service, and cuisine this restaurant described by Givenchy as a ""Precious Jewel Box"" is one of the most beautiful restaurants in New York City serving high Chinese Cuisine with impeccable service. The menu at MR CHOW is a combination of old authentic Beijing, Original Recipes, and the signature dishes such as Chicken Satay, MR CHOW Noodles, and Ma Mignon. MR CHOW also serves one of the best Beijing Ducks in the world.The famous nightly handmade noodle show is presented in every location since the opening of London in 1968. ""Elegant Midtown Chinese and its newer TriBeCa sibling offer “big-league” eats in “welcome-to-the-’80s” digs..."" - ZAGAT ",Chinese,40.7587261,-73.9644708,10022
Casa Lever,"390 Park Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7595780%2C-73.97239,1092,(212) 888-2700,http://www.casalever.com/,Italian,4.71092,4.6,4.6,4.6,4.1,$50 and over,1,1,4,16,78,"Manhattan sophistication meets superb Milanese classics at Casa Lever, the new restaurant from the family that brought you Sant Ambroeus.Modern art and timeless architecture set the stage for Italian classics, curated wine and creative cocktails. The epitome of Milanese spirit, Casa Lever is where Manhattan goes for a taste of 'La Dolce Vita.' ",Italian,40.7597285,-73.9729477,10022
Jams - NYC,"1414 6th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7648320%2C-73.976823,471,(212) 703-2007,http://jamsrestaurant.nyc/,American,4.4471,4.2,4.2,4.3,3.8,$30 and under,0,4,9,26,61,"Celebrity chef Jonathan Waxman's new restaurant with an emphasis on seasonal ingredients and an air of simplicity serving breakfast, lunch and dinner.",American,40.7647578,-73.9765408,10019
Ousia,"629 W 57th St New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7714850%2C-73.994053,383,(212) 333-2000,http://www.ousianyc.com/,Mediterranean,4.5383,4.4,4.4,4.5,4.1,$31 to $50,1,1,10,26,62,"Ousia, a Greek-focused Mediterranean concept from the family-owned and operated Livanos Restaurant Group, brings an intimate shared dining experience to Manhattan for lunch, dinner, and weekend brunch.  Celebrating the rich traditions of Mediterranean cuisine in the form of shareable plates, Executive Chef Carlos Carreto crafts memorable meals packed with beloved Greek flavors. Our comforting interpretations of classic recipes arrive at the table in a format that encourages communal dining among friends and family. Director of Operations Kamal Kouiri, who oversees the wine program, complements the chef’s creations with a similarly Greek-centric Mediterranean list accompanied by a selection of innovative cocktails and craft beers.   ",Mediterranean,40.7709893,-73.9925681,10019
Rosa Mexicano - First Avenue,"1063 1st Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7589250%2C-73.962759,2015,(212) 753-7407,http://www.rosamexicano.com/,Mexican,4.52015,4.4,4.3,4.2,4.1,$31 to $50,1,2,7,23,67,"Our flagship location opened its doors on First Avenue in 1984. From the moment you arrive, old world charm permeates your dining experience through authentic Mexican colors and rustic folk art. Traditional amate gods greet you at the front entrance and brightly colored papel picado hangs from the ceiling. Corn tortillas are made on site and an exposition grill further seduces your senses. With its warm ambiance and outstanding cuisine, this Rosa Mexicano location has remained a perennial New York favorite for over 25 years. ",Mexican,40.7589658,-73.9627039,10022
Red Cat,"227 Tenth Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7479920%2C-74.00417,3209,(212) 242-1308,http://www.theredcat.com/,American,4.73209,4.6,4.7,4.5,4.3,$31 to $50,0,1,3,19,77,"This Old Chelsea food hall opened in 1999 and is a New York original. The Red Cat's combination of come-as-you-are sensibilities and straightforward, satisfying, and occasionally irreverent cuisine instantly establish the restaurant as a favorite with New York diners.  As Frank Bruni wrote in the New York Times, ""The Red Cat feels vaguely colonial and tavern like, except when it feels downtown-gallery cool, and apart from those moments when it feels modestly and eclectically elegant.""",American,40.7481259,-74.0041907,10011
Ruth's Chris Steak House - New York City - Midtown,"148 West 51st Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7614000%2C-73.9821,4233,(212) 245-9600,http://www.ruthschris.com/Restaurant-Locations/manhattan,Steakhouse,4.54233,4.6,4.5,4.4,4.1,$31 to $50,1,3,8,21,67," Looking for a reservation? Call us at (212) 245-9600 and we will do our best to accommodate you. Ruth's Chris Steak House in New York, NY serves the finest USDA Prime beef available, broiled at 1,800° and served on 500° plates, so your steak stays hot, juicy and delicious from first bite to last. Enjoy our New Orleans-inspired appetizers, USDA Prime steaks, fresh seafood, signature side dishes and homemade desserts. All this while you enjoy our warm, inviting atmosphere and Ruth’s Chris’ genuine hospitality. So whether you’re a regular or have just been wondering what all the buzz is about, Ruth's Chris is the perfect excuse to enjoy the perfect night out. Dinner is served nightly, reservations are suggested and private dining and offsite catering may be arranged. ",Steakhouse,40.7613323,-73.9821595,10019
Sea Fire Grill,"158 East 48th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7548880%2C-73.972435,1734,(212) 935-3785,http://www.theseafiregrill.com/,Seafood,4.61734,4.6,4.6,4.4,4.1,$31 to $50,0,1,5,23,71,"Offering seasonally focused, contemporary American seafood, where only the finest and freshest seafood is highlighted. Guests will be enchanted by the superb selection of raw bar favorites and delicious appetizers which include East & West Coast Oysters, Chilled Lobster, and expertly seasoned Yellowfin Tuna Tartare.  Entrée selections are sure to delight, with succulent Alaskan King Crab Legs, elegant Herb Basted Black Bass and the menu wouldn't be complete without the addition of SFG's Surf & Turf - tender  filet mignon and buttery steamed lobster.",Seafood,40.7546919,-73.9722216,10017
Blue Water Grill,"31 Union Square West at 16th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7365330%2C-73.990786,5011,(212) 675-9500,http://www.bluewatergrillnyc.com/,Seafood,4.55011,4.4,4.3,4.4,3.9,$31 to $50,2,3,6,25,64,"Blue Water Grill, a Zagat favorite year over year, is a sustainable seafood dining destination in the heart of Union Square. Loyal guests and visitors alike are drawn to the former Metropolitan Bank space with chandeliers that illuminate the bi-level dining room, and a café perfect for people-watching. The menu highlights the freshest sustainable seafood daily, with innovative craft cocktails. Blue Water Grill is also known for Sunday Brunch overlooking the Union Square Greenmarket.",Seafood,40.7368125,-73.9911064,10003
Vaucluse,"100 East 63rd Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7649210%2C-73.967668,1078,(646) 869-2300,http://vauclusenyc.com/,French,4.51078,4.5,4.4,4.5,4,$31 to $50,1,3,8,18,70,Vaucluse is a stylish French brasserie from Michael White and the Altamarea Group.,French,40.7650225,-73.9676044,10065
LEGASEA,"485 Seventh Avenue New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7523580%2C-73.989319,261,(212) 268-1888,http://www.legaseany.com/,Seafood,4.3261,4.3,4.2,4.1,3.7,$50 and over,2,2,11,30,55,"Legasea combines a top-tier seafood menu with a fun-casual atmosphere for an entertaining dining experience that is to be expected from TAO Group. Executive Chef Jason Hall (formerly of Craft and Gotham Bar & Grill) and TAO Group Partner/Chef Ralph Scamardella have transformed classic seafood favorites, like the Clam Bake, into unique and shareable dishes designed for groups. Legasea is focused on its food offerings, serving up local, sustainable seafood of the highest quality, as well as delicious options for those not so marine-inclined, like the aptly named Steak Night. A lively, nautically-inspired setting brings the restaurant together to provide guests with an unforgettable evening full of good food and good company. ",Seafood,40.7522809,-73.9893607,10018
STK - NYC - Meatpacking,"26 Little West 12th St. New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7399000%2C-74.007395,1513,(646) 624-2444,http://www.stkhouse.com/,Steakhouse,4.41513,4.5,4.1,4.4,3.8,$31 to $50,3,3,11,21,62,"STK artfully blends two concepts into one—the modern steakhouse and a chic lounge. A large central lounge area is furnished with creamy leather banquettes and textured crocodile tiles, and is surrounded by an elevated dining room for more formal dining. Theatrical lights illuminate each table, while smoky mirrors allow patrons to catch a glimpse of the surroundings as a DJ creates an energetic vibe throughout the entire space. STK Meatpacking is located in the heart of NYC's Meatpacking District and is the brand’s flagship location. Steak is the main attraction. With a chic and modern mindset, STK offers small, medium and large cuts of meat, as well as naturally raised options and market fresh fish entrees. Aside from steak, signature items include Parmesan Truffle Fries; Lil’ BRGs; Crispy Lobster Tail; Sweet Corn Pudding.",Steakhouse,40.7398399,-74.0071747,10014
Esca,"402 West 43rd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7591600%2C-73.992316,4874,(212) 564-7272,http://www.esca-nyc.com/,Italian,4.34874,4.3,4.3,4.2,3.6,$30 and under,3,5,12,25,55,"Esca is a Southern Italian Seafood Restaurant created by Joseph Bastianich & David Pasternack. Esca showcases the style and sensibility of Italian coastal cooking. Dave went to Italy and saw firsthand what they were talking about. After years of cooking French food, Dave had finally found the food he had always wanted to cook: the best fish available, prepared in a simple and delicious way. In Italy, that means the local catch. In New York, that means the best fish of the Pacific, Mediterranean & our own backyard.At Esca, you can eat the most sought-after Pacific Ocean delicacies along side fluke that Dave caught on his day off. The menu changes daily and is driven by the fish markets of the world & the farms of Dave’s friends. Esca is the place where you can have stunning raw fish, an incredible bowl of pasta and then a Mediterranean Branzino cooked in sea salt. Esca is the best of Italian coastal cooking with access to the world’s greatest fish.",Italian,40.7592097,-73.9927457,10036
The Leopard at des Artistes,"1 West 67th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7734360%2C-73.978955,1329,(212) 787-8767,http://www.theleopardnyc.com/,Italian,4.51329,4.4,4.5,4.6,4,$50 and over,2,2,5,24,67,"Located in the New York landmarked Hotel Des Artistes, and surrounded by the astonishing 1920s murals by Howard Chandler Christy, THE LEOPARD at des Artistes finds its roots in the area once known as “The Kingdom of the Two Sicilies” (mid 1800s) and in the culinary traditions of the regions of Campania, Basilicata, Calabria, Apulia, Sardinia, and of course Sicily, reaching a balance between dishes based on rural elements, such as pasta, vegetables, cheese, and seafood ingredients from the Costiera. ",Italian,40.773502,-73.9789261,10023
21 Club,"21 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7602250%2C-73.97706,3262,(212) 582-7200,http://www.21club.com/,American,4.73262,4.6,4.7,4.7,4.1,$50 and over,0,2,4,15,79,"Attentive service, fine American cuisine, a Grand Award-winning wine list and unique, historical surroundings set ‘21’ apart. Once a glamorous speakeasy, today '21' is one of the most celebrated restaurants in New York City. In addition to our two restaurants, the Bar Room and 'Upstairs', this four-story townhouse features ten private party rooms ideal for celebrations, meetings and banquets, including the legendary Prohibition-era Wine Cellar. DRESS CODE: No jeans or sneakers. Jackets are necessary for gentlemen. Kindly note that shorts and flip-flops are not permitted.",American,40.760533,-73.977397,10019
Benoit Restaurant and Wine Bar,"60 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7624850%2C-73.976843,3170,(646) 943-7373,http://benoitny.com/,French,4.5317,4.5,4.4,4.4,4,$31 to $50,1,3,8,24,64,"Open since 2008, Benoit New York is the third member of internationally-acclaimed Chef Alain Ducasse’s Benoit family – which also includes the bistro in Paris since 1912 and Benoit Tokyo. In New York, guests enjoy a warm and authentic experience and a menu filled with traditional bistro dishes with a modern flair. In 2016, the restaurant underwent a renovation, bringing a contemporary New York City touch to the classic French restaurant.",French,40.7624832,-73.9773402,10019
DaDong NY,"3 Bryant Park New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7535960%2C-73.983232,342,(212) 355-9600,http://www.dadongny.com/,Chinese,4.1342,4,4.1,4.3,3.4,$31 to $50,5,7,11,23,54,"Welcome to the first U.S. restaurant by one of China’s most famous and influential Chefs, simply known as DaDong. Located in the world’s most prominent location, just east of the heart of Times Square, the restaurant occupies 12,932 square feet on the second and third floors of The Cube Building.The restaurant has two main dining rooms with the second floor offering an energetic, stylish, sexy, and slightly gritty atmosphere and the third floor offering a more refined and elegant dining room. Designed by George Wong Design, it also includes a 3,785-square-foot outdoor garden on the second floor and an 858-square-foot outdoor terrace on the third floor, along with a few private dining rooms. The entire venue accommodates over 400 guests.",Chinese,40.7548449,-73.9845597,10036
Lincoln Square Steak,"208 West 70th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7772340%2C-73.983146,1976,(212) 875-8600,http://lincolnsquaresteak.com/,Steakhouse,4.51976,4.4,4.5,4.4,4.2,$50 and over,1,3,6,24,66,"An Italian-American Steakhouse serving family style, ""Quantity & Quality"", designed with a nostalgic decor that is reflective of the 1960s era, offers family style to be shared by all, steaks that are dry aged to perfection, succulent seafood dishes and an extensive global wine list.  At 7:00pm every evening, a talented pianist will provide live music and entertainment for guests. The 140 seat dining room, as well as four private dining rooms and a stunning bar, makes Lincoln Square Steak the perfect place to dine as well as to host parties of all sizes. ",Steakhouse,40.7775086,-73.9833154,10023
Club A Steakhouse,"240 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7605260%2C-73.96609,3371,(212) 688-4190,http://clubasteakhouse.com/,Steakhouse,4.83371,4.7,4.8,4.7,4.6,$31 to $50,1,1,4,10,84,Club A Steakhouse provides a truly unique dining experience. Family owned and operated the owner Bruno Selimaj or one of his three sons are onsite and greets each guest every night. Club A manages to encompass the characteristics of a traditional steak house and new world modernism that is evident in both the menu and décor. The warmth paired with the distinct menu and extensive wine list make it perfect for any occasion. Please note that Club A Steakhouse will honor your Groupon reservations however OpenTable Diner Rewards points will not be received.,Steakhouse,40.7600512,-73.9655781,10022
Anassa Taverna,"200 East 60th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7620370%2C-73.966063,864,(212) 371-5200,http://www.anassataverna.com/,Greek,4.5864,4.4,4.2,4.2,4,$31 to $50,1,2,8,26,63,"This bi-level space is meant to evoke the Greek seashore, with warm weathered colors and decorative jewelry.Menu includes Mediterranean classics as a Greek salad, grilled lamb chops and a swordfish kebab. There's a raw bar, and daily specials that might include Seafood, Artic Char, Monkfish, Lamb Shank or slow-cooked pork shoulder. ",Greek,40.7619091,-73.9658824,10022
Cafe d'Alsace,"1695 2nd Ave (Corner of  88th Street & 2nd Ave) New York, NY  10128",//www.google.com/maps/search/?api=1&query=40.7790080%2C-73.950886,1664,(212) 722-5133,http://www.cafedalsace.com/,French,4.41664,4.4,4.2,4.2,4.1,$31 to $50,0,2,10,32,56,"Cafe d'Alsace features chef  Philippe Roussel; previously at Chelsea Bar and Bistro and Montparnasse, is originally from Brittany, but he knows something about Alsace serving features such as his tarte flambée (onions and bacon), potée (cabbage soup) and choucroute made with pork or duck. Also try something off our extravagant beer menu.",French,40.7791721,-73.9510841,10128
Burke & Wills,"226 West 79th Street New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7833610%2C-73.979579,516,(646) 823-9251,http://www.burkeandwillsny.com/,Australian,4.6516,4.5,4.6,4.6,4.1,$31 to $50,1,2,5,25,67,"Modern Australian bistro focusing on seasonal produce featuring a menu of modern  fare with an Australian twist. Items including creative takes on authentic dishes like a Kangaroo Burger and Australian Lamb Rack.  The restaurant also features an all Australian wine list, craft beer and artisanal cocktails.",Other,40.7833649,-73.9795709,10024
Boucherie - Park Avenue South,"225 Park Ave South New York, NY  10003-1604",//www.google.com/maps/search/?api=1&query=40.7371080%2C-73.987891,128,(212) 353-0200,http://boucherie.nyc/,French,4.3128,4.2,4.2,4.4,3.8,$31 to $50,2,4,10,25,59,"BOUCHERIE is a traditional FRENCH brasserie and steakhouse, celebrating Joie de Vivre in the heart of West Village. Executive Chef Jerome DIHUI, former Chef de Cuisine of Pastis, prepares a menu of French classics and timeless bistro favorites, in addition to the DRY-AGED STEAKS. In addition to an extensive wine list and classic drinks, Anthony Bohlinger (formerly of Maison Premiere) developed a beverage program that boasts an inspired menu of absinthe-driven signature cocktails.Surrounded by walls of majestic wooden-framed mirrors and original Belle Époque posters, seating at our GRAMERCY PARK location varies among pristine white marble and wood bistro tables, cozy burgundy leather booths, a 32ft. handmade pewter bar, and an option for a 40-guest private room, to make the 222-seat restaurant feel timeless and intimate with vibrant, contemporary joi de vivre. ",French,40.7371329,-73.9879502,10003
Natsumi Restaurant,"226 West 50th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7618480%2C-73.985039,1620,(212) 258-2988,http://www.natsuminyc.com/,Japanese,4.5162,4.5,4.3,4.1,4.1,$31 to $50,0,1,9,32,58,"Natsumi Breaks New Ground with Innovative Modern Japanese Cuisine. Barbara Matsumura founder of Haru Restaurants, has teamed up again with Chef Haru Konagaya to create this strikingly original destination.  Two separate experiences in two adjacent sites, an elegant restaurant and a trendy Tokyo-chic bar/lounge.  Natsumi specializes in modern Japanese cuisine with a touch of Italian ingredients; offering an array of creative dishes such as, sashimi arugula salad, new style yellowtail carpaccio, and lobster green tea ravioli.  The innovative menu relies on unique preparations with dynamic flavors.  The wine list is international, with white, red, sparkling wines, and champagne by the glass and bottle.  The restaurant is divided into distinct dining areas, a cozy space with intimate booths, a sushi bar where diners can watch the chefs compose, and in the front, the windows open to the street.  The whole room is infused with a warm golden glow and earth tones.",Japanese & Koren,40.7617073,-73.9852527,10019
Armani Ristorante 5th Avenue,"717 5th Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7621420%2C-73.974562,1087,(212) 207-1902,http://armanirestaurants.com/newyork-armani-ristorante/,Italian,4.71087,4.6,4.6,4.6,4.2,$31 to $50,0,2,5,18,75,"From July 23rd to August 17th, we will participate to the Restaurant week program only for these shifts:Monday to Friday: Only Dinner, Menu and A la Carte available.Sunday: Brunch, only Menu. A la Carte dishes not available.Thank you for your understanding.Immersed in the heart of Manhattan, overlooking Fifth Avenue; Armani Ristorante lends itself to forge a new form of dining experience. The dazzling Italian trendy decor by Fuksas mingled with culinary creations communicate through each bite and each eyesight the personality and the beliefs of a distinctive philosophy that has changed the world through its innovative creations. In a place where vanguard cuisine marries traditional Italian cuisine our guests will savor the wonders of our exclusive dishes, and the impeccable care of our service absorbed in our unique surroundings that remains together elegant and relaxed. ",Italian,40.7617242,-73.9739578,10022
